,Genus_sp_lifestage,Genus_sp_95toPresent,biop_152_codes,biop_152_names,biop_152_names_95pres
173,Kellicottia,Kellicottia sp.,9995,rotifer,
236,K_quadrata,Keratella quadrata,9995,rotifer,
174,Keratella,Keratella sp.,9995,rotifer,
216,K_latissima_eggs,Kurzia latissima,993,Clad eggs,
217,K_latissima_w_eggs,Kurzia latissima,990,unkclad.d,
218,K_latissima_wo_eggs,Kurzia latissima,990,unkclad.d,
240,Lecane,Lecane sp.,9995,rotifer,
242,L_patella,Lepadella patella,9995,rotifer,
48,L_ashlandi_eggs,Leptodiaptomus ashlandi,994,Cop eggs,
8,L_ashlandi_w_eggs,Leptodiaptomus ashlandi,67,Di.Ashlan,
9,L_ashlandi_wo_eggs,Leptodiaptomus ashlandi,67,Di.Ashlan,
49,L_minutus_eggs,Leptodiaptomus minutus,994,Cop eggs,
4,L_minutus_w_eggs,Leptodiaptomus minutus,64,Di.Minut,
5,L_minutus_wo_eggs,Leptodiaptomus minutus,64,Di.Minut,
50,L_sicilis_eggs,Leptodiaptomus sicilis,994,Cop eggs,
22,L_sicilis_w_eggs,Leptodiaptomus sicilis,55,Di.Sicil,
23,L_sicilis_wo_eggs,Leptodiaptomus sicilis,55,Di.Sicil,
51,L_siciloides_eggs,Leptodiaptomus siciloides,994,Cop eggs,
24,L_siciloides_w_eggs,Leptodiaptomus siciloides,61,Di.Sicilo,
25,L_siciloides_wo_eggs,Leptodiaptomus siciloides,61,Di.Sicilo,
165,L_kindti_eggs,Leptodora kindti,993,Clad eggs,
149,L_kindti_w_eggs,Leptodora kindti,19,Le.Kindti,
150,L_kindti_wo_eggs,Leptodora kindti,19,Le.Kindti,
246,L_kindti_immature,Leptodora kindti immature,19,Le.Kindti,
219,Leydigia_eggs,Leydigia sp.,993,Clad eggs,
220,Leydigia_w_eggs,Leydigia sp.,990,unkclad.d,
221,Leydigia_wo_eggs,Leydigia sp.,990,unkclad.d,
14,L_macrurus_adult,Limnocalanus macrurus,52,Li.Macrur,
15,L_macrurus_immature,Limnocalanus macrurus,52,Li.Macrur,
166,Loose_Bosmina_eggs,Loose Bosmina longirostris,993,Clad eggs,
167,Loose_Cladoceran_eggs,Loose Cladocera spp.,993,Clad eggs,
168,Loose_Daphnia_eggs,Loose Daphnia sp.,993,Clad eggs,
222,Macrothrix_eggs,Macrothrix sp.,993,Clad eggs,
223,Macrothrix_w_eggs,Macrothrix sp.,990,unkclad.d,
183,Macrothrix_wo_eggs,Macrothrix sp.,990,unkclad.d,
52,M_edax_eggs,Mesocyclops spp.,994,Cop eggs,
16,M_edax_w_eggs,Mesocyclops spp.,40,Meso.edax,
17,M_edax_wo_eggs,Mesocyclops spp.,40,Meso.edax,
224,Moina_eggs,Moina sp.,993,Clad eggs,
151,Moina_w_eggs,Moina sp.,990,unkclad.d,
152,Moina_wo_eggs,Moina sp.,990,unkclad.d,
241,Monostyla,Monostyla sp.,9995,rotifer,
235,Notholca,Notholca sp.,9995,rotifer,
100,P_poppei_eggs,Paracyclops poppei,994,Cop eggs,
34,P_poppei_w_eggs,Paracyclops poppei,186,Pa.F.Pop,
35,P_poppei_wo_eggs,Paracyclops poppei,186,Pa.F.Pop,
237,Platyias,Platyias sp.,9995,rotifer,
225,Pleuroxus_eggs,Pleuroxus sp.,993,Clad eggs,
226,Pleuroxus_w_eggs,Pleuroxus sp.,990,unkclad.d,
227,Pleuroxus_wo_eggs,Pleuroxus sp.,990,unkclad.d,
175,Ploesoma_sp.,Ploesoma sp.,9995,rotifer,
176,Polyarthra,Polyarthra sp.,9995,rotifer,
177,Unidentified_Rotifers,Rotifera spp.,9995,rotifer,
229,Scapholeberis_eggs,Scapholeberis sp.,993,Clad eggs,
153,Scapholeberis_w_eggs,Scapholeberis sp.,191,Sc.Kingi,
154,Scapholeberis_wo_eggs,Scapholeberis sp.,191,Sc.Kingi,
181,S_crystallina_eggs,Sida crystallina,993,Clad eggs,
180,S_crystallina_w_eggs,Sida crystallina,128,Sida.Crys,
228,S_crystallina_wo_eggs,Sida crystallina,128,Sida.Crys,
230,Simocephalus_eggs,Simocephalus sp.,993,Clad eggs,
155,Simocephalus_w_eggs,Simocephalus sp.,168,Simo.Ser,
156,Simocephalus_wo_eggs,Simocephalus sp.,168,Simo.Ser,
53,S_oregonensis_eggs,Skistodiaptomus oregonensis,994,Cop eggs,
2,S_oregonensis_w_eggs,Skistodiaptomus oregonensis,58,Di.Oregon,
3,S_oregonensis_wo_eggs,Skistodiaptomus oregonensis,58,Di.Oregon,
103,S_reighardi_eggs,Skistodiaptomus reighardi,994,Cop eggs,
38,S_reighardi_w_eggs,Skistodiaptomus reighardi,79,Di.Reigh,
39,S_reighardi_wo_eggs,Skistodiaptomus reighardi,79,Di.Reigh,
244,Synchaeta,Synchaeta sp.,9995,rotifer,
234,Testudinella,Testudinella sp.,9995,rotifer,
245,Trichocerca,Trichocerca sp.,9995,rotifer,
59,T_prasinus_mexicanus_eggs,Tropocyclops prasinus mexicanus,994,Cop eggs,
10,T_prasinus_mexicanus_w_eggs,Tropocyclops prasinus mexicanus,9992,othercyclo,
11,T_prasinus_mexicanus_wo_eggs,Tropocyclops prasinus mexicanus,9992,othercyclo,
157,Unidentified_Daphnia,Unidentified Daphniidae spp.,113,Daph.sp,
