"","Sample_ID","Sample_date","Sample_site","Water_body","Depth_m","Latitude","Longitude","Year","Month","Day","DOY","Time","Diatoms","Chrysophytes","Cryptophytes","Green_algae","Cyanobacteria","Dinoflagellates","Edibles","Inedibles","TotalPP","Site_consolidated"
"955","20060516-27-918","2006-05-16","27-918","Western Erie",8.8,41.775556,-83.054722,2006,5,16,136,2006.3698630137,0.136347639,0,0.105737586,0.027222197,4.1e-05,0,0.269143297,0.000205125,0.269348422,"27-918"
"956","20060516-29-905","2006-05-16","29-905","Western Erie",8.5,41.866389,-83.135278,2006,5,16,136,2006.3698630137,0.132919939,0,0.171756722,0.024590082,0,0,0.329266743,0,0.329266743,"29-905"
"957","20060516-36-873","2006-05-16","36-873","Western Erie",5.8,41.768333,-83.300833,2006,5,16,136,2006.3698630137,1.206373269,0,2.422332155,0.126348267,0.038495339,0,2.562966444,1.230582586,3.79354903,"36-873"
"958","20060516-37-890","2006-05-16","37-890","Western Erie",5.7,41.7025,-83.248056,2006,5,16,136,2006.3698630137,0.014059781,0,2.019882881,2.255019709,0.067174511,0,2.386791104,1.969345778,4.356136882,"37-890"
"959","20070510-14-972","2007-05-10","14-972","Western Erie",6.7,41.571667,-82.77,2007,5,10,130,2007.35342465753,1.212961096,0,0.367162781,0.374600402,0,0,0.947814745,1.006909534,1.954724279,"14-972"
"960","20070510-16-970","2007-05-10","16-970","Western Erie",9.25,41.640278,-82.765833,2007,5,10,130,2007.35342465753,0.134846216,0.025133802,0.244005417,0.240953778,0,0.080201529,0.725140742,0,0.725140742,"16-970"
"961","20070510-3-996","2007-05-10","3-996","Western Erie",8.2,41.4475,-82.617778,2007,5,10,130,2007.35342465753,0.610745845,0.003216037,0.711236453,0.895390291,0.038592441,0,1.695123955,0.564057112,2.259181067,"3-996"
"962","20070510-8-994","2007-05-10","8-994","Western Erie",13.4,41.517778,-82.600556,2007,5,10,130,2007.35342465753,0.171890286,0.02163879,0.454292572,0.748744305,0,0.013715362,0.968471908,0.441809407,1.410281315,"8-994"
"963","20070511-27-918","2007-05-11","27-918","Western Erie",10.1,41.775556,-83.054722,2007,5,11,131,2007.35616438356,0.925954575,0.039368027,0.139715289,0.438873761,0.002663069,0,1.03372932,0.512845401,1.546574721,"27-918"
"964","20070511-29-905","2007-05-11","29-905","Western Erie",9.8,41.866389,-83.135278,2007,5,11,131,2007.35616438356,0.696902156,0.145389655,0.046891461,0.41119956,0,0,1.037588076,0.262794756,1.300382832,"29-905"
"965","20070511-36-873","2007-05-11","36-873","Western Erie",6.7,41.768333,-83.300833,2007,5,11,131,2007.35616438356,0.108053293,0,0.710797408,0.551796355,0,0,1.364794087,0.005852969,1.370647056,"36-873"
"966","20070511-37-890","2007-05-11","37-890","Western Erie",6.7,41.7025,-83.248056,2007,5,11,131,2007.35616438356,0.127726521,0,0.149742537,0.247901882,0,0,0.507995147,0.017375793,0.52537094,"37-890"
"967","20070522-27-918","2007-05-22","27-918","Western Erie",10.1,41.775556,-83.054722,2007,5,22,142,2007.38630136986,0.537958752,0.015795629,0.251242177,0.076438337,0.000836997,0,0.667752408,0.214519484,0.882271892,"27-918"
"968","20070522-29-905","2007-05-22","29-905","Western Erie",10,41.866389,-83.135278,2007,5,22,142,2007.38630136986,0.667342193,0.050088633,0.179660516,0.151072064,0.001405728,0,0.351196703,0.698372431,1.049569134,"29-905"
"969","20070522-36-873","2007-05-22","36-873","Western Erie",7,41.768333,-83.300833,2007,5,22,142,2007.38630136986,0.403409516,0.05209342,0.631200096,0.309247851,0,0.098800955,1.096923666,0.397828172,1.494751838,"36-873"
"970","20070522-37-890","2007-05-22","37-890","Western Erie",6.7,41.7025,-83.248056,2007,5,22,142,2007.38630136986,0.331719773,0.018552716,0.504085177,0.634944487,0,0.041491698,1.353230554,0.177563297,1.530793851,"37-890"
"971","20070523-14-972","2007-05-23","14-972","Western Erie",7,41.571667,-82.77,2007,5,23,143,2007.38904109589,0.031402781,0.006944988,0.244449116,0.427520827,0,0,0.334130851,0.376186861,0.710317712,"14-972"
"972","20070523-16-970","2007-05-23","16-970","Western Erie",9.4,41.640278,-82.765833,2007,5,23,143,2007.38904109589,2.798599117,0.02032522,0.253788823,0.167252168,0,0,1.709248645,1.530716683,3.239965328,"16-970"
"973","20070523-3-996","2007-05-23","3-996","Western Erie",8.5,41.4475,-82.617778,2007,5,23,143,2007.38904109589,0.14428215,0,0.560238828,1.430152187,0.050578787,0,0.975344198,1.209907754,2.185251952,"3-996"
"974","20070523-8-994","2007-05-23","8-994","Western Erie",13.4,41.517778,-82.600556,2007,5,23,143,2007.38904109589,0.149048663,0.004467644,0.180066979,0.706762239,0,0,0.39579627,0.644549255,1.040345525,"8-994"
"975","20080505-14-972","2008-05-05","14-972","Western Erie",21.5,41.571667,-82.77,2008,5,5,126,2008.34153005464,0.168864356,0.018763399,0.081108195,1.695780775,0,0,0.42897179,1.535544935,1.964516725,"14-972"
"976","20080505-16-970","2008-05-05","16-970","Western Erie",8.9,41.640278,-82.765833,2008,5,5,126,2008.34153005464,0.178176523,0.012572147,0.196112628,0.155696874,0.008874457,0,0.542558172,0.008874457,0.551432629,"16-970"
"977","20080505-27-918","2008-05-05","27-918","Western Erie",9.9,41.775556,-83.054722,2008,5,5,126,2008.34153005464,0.514977759,0.018651974,0.138307519,0.19545477,0.001428141,0,0.840189337,0.028630826,0.868820163,"27-918"
"978","20080505-29-905","2008-05-05","29-905","Western Erie",9.3,41.866389,-83.135278,2008,5,5,126,2008.34153005464,0.424421596,0.091558025,0.203929721,0.485529757,0,0,1.205439099,0,1.205439099,"29-905"
"979","20080505-3-996","2008-05-05","3-996","Western Erie",7.9,41.4475,-82.617778,2008,5,5,126,2008.34153005464,0.6744245,0.006939003,0.13361938,0.544326722,0.007527055,0,0.509745566,0.857091094,1.36683666,"3-996"
