"","Sample_ID","Sample_date","Sample_site","Water_body","Depth_m","Surface_temp","Latitude","Longitude","Year","Month","Day","DOY","Time","Sm_cladocerans","Lg_cladocerans","Cyclopoids","Calanoids","Rotifers","Nauplii","Veligers","Leptodora","TotalZP"
"1356","20020618-14-972","2002-06-18","14-972","Western Erie",6.4,19.5,41.571667,-82.77,2002,6,18,169,2002.4602739726,49.1884736112358,55.9225587522811,202.359294286026,174.025745853705,8.01326868096692,6.15645266547386,8.66488664649747,3.70685656205205,508.037537058239
"1357","20020618-16-970","2002-06-18","16-970","Western Erie",9.4,19.2,41.640278,-82.765833,2002,6,18,169,2002.4602739726,22.4218035341462,222.113388011867,388.918639984374,317.869403247999,19.2665221115453,10.11261888811,6.998288749784,0.776962272731068,988.477626800557
"1358","20020618-27-918","2002-06-18","27-918","Western Erie",10.1,18.7,41.775556,-83.054722,2002,6,18,169,2002.4602739726,5.61376666047154,7.38777911525509,11.6032613442044,8.11301808246953,45.633482619658,1.09444297427828,79.8377254344647,0,159.283476230802
"1359","20020618-29-905","2002-06-18","29-905","Western Erie",9.4,18.8,41.866389,-83.135278,2002,6,18,169,2002.4602739726,3.38681999000583,2.26756503627241,8.34946824749868,18.0183361902072,25.3539144934258,1.33897779586599,54.8178367837532,1.07327142550711,114.606189962536
"1360","20020618-3-996","2002-06-18","3-996","Western Erie",7.7,19.5,41.4475,-82.617778,2002,6,18,169,2002.4602739726,112.9526742995,30.2727857025025,247.770322122294,284.485824401198,646.269368441324,12.2950872841351,65.7396001137117,0,1399.78566236466
"1361","20020618-36-873","2002-06-18","36-873","Western Erie",6.4,19.6,41.768333,-83.300833,2002,6,18,169,2002.4602739726,12.9249327112477,81.2221637483608,23.3736740412602,17.876974820902,15.6110842643791,2.76397083717001,44.3377151021804,2.25925189864499,200.369767424145
"1362","20020618-37-890","2002-06-18","37-890","Western Erie",6.1,20.3,41.7025,-83.248056,2002,6,18,169,2002.4602739726,22.3516899070551,139.203876835065,177.216943476532,190.778009687464,4.23892462424268,5.78264176408713,50.0259937388994,0,589.598080033345
"1363","20020618-8-994","2002-06-18","8-994","Western Erie",13.3,18.5,41.517778,-82.600556,2002,6,18,169,2002.4602739726,72.8270791194113,31.4564626416683,224.250319916934,118.710038340856,119.851988933544,6.19235214544914,32.5722822057848,0,605.860523303648
"1364","20020702-14-972","2002-07-02","14-972","Western Erie",6.4,24.6,41.571667,-82.77,2002,7,2,183,2002.49863013699,594.845104639301,63.3288834122254,911.82619741328,159.296938544031,576.513699808024,7.12168778559976,4.69192541352117,1.3195959812151,2318.9440329972
"1365","20020702-16-970","2002-07-02","16-970","Western Erie",9.4,25.6,41.640278,-82.765833,2002,7,2,183,2002.49863013699,126.329305671092,19.2697554912444,226.429386339483,99.8498030160214,357.923317798472,9.86264314087125,4.50647381614879,0,844.170685273332
"1366","20020702-27-918","2002-07-02","27-918","Western Erie",10.1,26.4,41.775556,-83.054722,2002,7,2,183,2002.49863013699,2.61602835408443,305.466166153927,57.7584738076809,51.9322697853095,16.0067498123027,1.75367798385706,38.2164386357507,21.2405187205381,494.99032325345
"1367","20020702-29-905","2002-07-02","29-905","Western Erie",9.4,27.2,41.866389,-83.135278,2002,7,2,183,2002.49863013699,1.43635160134342,191.54105515238,117.002949611752,72.5191767938691,11.7003396390151,10.195220458647,29.9166612636965,14.6658123465168,448.97756686722
"1368","20020702-3-996","2002-07-02","3-996","Western Erie",7.7,24.8,41.4475,-82.617778,2002,7,2,183,2002.49863013699,94.071078565354,10.7638818840316,321.169564889299,104.629163008548,292.008915635857,4.52314554858409,4.39359489589843,0,831.559344427572
"1369","20020702-36-873","2002-07-02","36-873","Western Erie",6.4,27.1,41.768333,-83.300833,2002,7,2,183,2002.49863013699,1.57233281366309,111.023438153034,395.562378865152,256.549967252985,13.009378819629,5.51579362508024,7.63438496702,41.9660216889863,832.833696185549
"1370","20020702-37-890","2002-07-02","37-890","Western Erie",6.1,27.5,41.7025,-83.248056,2002,7,2,183,2002.49863013699,0.488120035504166,87.0900038496876,594.192690505842,364.262531865816,10.2918688281171,6.03752313445724,2.22337749950664,32.1315425069837,1096.71765822591
"1371","20020702-8-994","2002-07-02","8-994","Western Erie",13.3,25,41.517778,-82.600556,2002,7,2,183,2002.49863013699,110.924696039452,20.2673616346104,417.64018973575,104.517259475321,337.083707088246,8.1296518492881,0.372715879531103,0.842691701063728,999.778273403263
"1372","20020716-14-972","2002-07-16","14-972","Western Erie",6.4,25.3,41.571667,-82.77,2002,7,16,197,2002.53698630137,2.77643977793049,143.887858794424,612.791667610239,73.8202638553704,39.5655977992379,14.8789301244135,58.1693723243261,0,945.890130285941
"1373","20020716-16-970","2002-07-16","16-970","Western Erie",10.7,25.2,41.640278,-82.765833,2002,7,16,197,2002.53698630137,5.05508836450589,71.7570128308142,371.011862586752,37.8317475272772,50.7939713890579,11.5466001819923,72.2558616741612,0,620.252144554561
"1374","20020716-27-918","2002-07-16","27-918","Western Erie",9.8,25.5,41.775556,-83.054722,2002,7,16,197,2002.53698630137,1.80587161215987,64.1582792126571,298.245327950928,0.912498906664592,51.0693229460853,8.28979989621832,53.8664508565475,0,478.347551381261
"1375","20020716-29-905","2002-07-16","29-905","Western Erie",9.4,25.4,41.866389,-83.135278,2002,7,16,197,2002.53698630137,1.03654300851252,60.9043802195042,16.1060216900718,4.6298145696931,33.8355380997284,2.41988446935467,111.185365378486,4.98066666237536,235.098214097726
"1376","20020716-3-996","2002-07-16","3-996","Western Erie",7.9,25.1,41.4475,-82.617778,2002,7,16,197,2002.53698630137,0,298.392544655173,318.929255250188,141.417525709913,63.5987210623317,15.9314403917202,7.30262548484535,2.21560929667885,847.78772185085
"1377","20020716-36-873","2002-07-16","36-873","Western Erie",6.4,26.7,41.768333,-83.300833,2002,7,16,197,2002.53698630137,1.24150254924874,27.8138091602622,36.0885234588742,9.46565896552195,39.2283418676512,2.45122605984697,47.7076325799812,2.6134063342472,166.610100975634
"1378","20020716-37-890","2002-07-16","37-890","Western Erie",6.1,26.9,41.7025,-83.248056,2002,7,16,197,2002.53698630137,3.62422298308872,120.079025921399,582.48196128348,2.3209363732245,6.39906285841254,7.34752018469993,7.14129337302352,0,729.394022977328
"1379","20020716-8-994","2002-07-16","8-994","Western Erie",13.4,25.4,41.517778,-82.600556,2002,7,16,197,2002.53698630137,5.35627374896911,100.010808596146,410.856815275318,226.494727016379,22.266364734246,16.7731938871816,31.2423893281,4.02235989860374,817.022932484944
"1380","20030603-14-972","2003-06-03","14-972","Western Erie",6.5,15.2,41.571667,-82.77,2003,6,3,154,2003.41917808219,4.85124417674665,15.3087866058851,231.08211771825,94.4818352782052,0.0204383847730317,0.964319659231657,0,0,346.708741823092
"1381","20030603-16-970","2003-06-03","16-970","Western Erie",9.1,15.2,41.640278,-82.765833,2003,6,3,154,2003.41917808219,2.83652955886144,75.663620382012,152.174546503955,81.1738796500126,0,0.337833419965914,0,0,312.186409514807
"1382","20030603-3-996","2003-06-03","3-996","Western Erie",8.3,15.8,41.4475,-82.617778,2003,6,3,154,2003.41917808219,3.58476331701207,83.6141996080383,698.353701851996,270.678262679769,0.447450888083883,1.13055632540221,0.0390952016082311,0.728718469164376,1058.57674834107
